´ŽèDrug Name	substance	rack.concentration	rack_position	volume	destination.well
Bleomycin	Drug31	0.2	F3	100	E22
Bleomycin	Drug31	1	F3	100	D16
Bleomycin	Drug31	0.0016	F3	100	P20
Bleomycin	Drug31	0.008	F3	100	D11
Bleomycin	Drug31	0.04	F3	100	K11
Dabrafenib	Drug32	0.04	A6	100	F23
Dabrafenib	Drug32	0.0016	A6	100	L24
Dabrafenib	Drug32	0.008	A6	100	H21
Dabrafenib	Drug32	0.2	A6	100	D12
Dabrafenib	Drug32	1	A6	100	G24
Doxorubicin	Drug33	1	C3	100	H24
Doxorubicin	Drug33	0.04	C3	100	G23
Doxorubicin	Drug33	0.008	C3	100	F11
Doxorubicin	Drug33	0.0016	C3	100	H13
Doxorubicin	Drug33	0.2	C3	100	P12
Methotrexate	Drug34	0.04	E3	100	O16
Methotrexate	Drug34	0.2	E3	100	P16
Methotrexate	Drug34	0.0016	E3	100	C18
Methotrexate	Drug34	1	E3	100	M01
Methotrexate	Drug34	0.008	E3	100	H15
Sunitinib	Drug35	0.2	F7	100	J12
Sunitinib	Drug35	0.0016	F7	100	H09
Sunitinib	Drug35	0.04	F7	100	H12
Sunitinib	Drug35	0.008	F7	100	N06
Sunitinib	Drug35	1	F7	100	L13
Axitinib	Drug36	0.2	A1	100	N19
Axitinib	Drug36	0.0016	A1	100	L19
Axitinib	Drug36	1	A1	100	I22
Axitinib	Drug36	0.04	A1	100	N16
Axitinib	Drug36	0.008	A1	100	F12
Oxaliplatin	Drug37	0.008	H3	100	J24
Oxaliplatin	Drug37	1	H3	100	F15
Oxaliplatin	Drug37	0.2	H3	100	N13
Oxaliplatin	Drug37	0.04	H3	100	O11
Oxaliplatin	Drug37	0.0016	H3	100	E07
PRI-724	Drug38	0.04	F8	100	M12
PRI-724	Drug38	0.0016	F8	100	C13
PRI-724	Drug38	0.2	F8	100	J17
PRI-724	Drug38	1	F8	100	H10
PRI-724	Drug38	0.008	F8	100	K08
5-FU	Drug39	0.2	D3	100	C05
5-FU	Drug39	0.0016	D3	100	K12
5-FU	Drug39	1	D3	100	J18
5-FU	Drug39	0.04	D3	100	C20
5-FU	Drug39	0.008	D3	100	B12
Panobinostat	Drug4	0.04	F1	100	F22
Panobinostat	Drug4	1	F1	100	P19
Panobinostat	Drug4	0.008	F1	100	A24
Panobinostat	Drug4	0.0016	F1	100	P04
Panobinostat	Drug4	0.2	F1	100	J21
Afatinib	Drug40	1	B1	100	E12
Afatinib	Drug40	0.008	B1	100	A19
Afatinib	Drug40	0.04	B1	100	E15
Afatinib	Drug40	0.2	B1	100	D23
Afatinib	Drug40	0.0016	B1	100	G06
Cabozantinib maleate	Drug41	1	D6	100	F04
Cabozantinib maleate	Drug41	0.008	D6	100	J01
Cabozantinib maleate	Drug41	0.2	D6	100	H16
Cabozantinib maleate	Drug41	0.04	D6	100	A23
Cabozantinib maleate	Drug41	0.0016	D6	100	D05
Dasatinib	Drug42	0.0016	D1	100	D01
Dasatinib	Drug42	0.2	D1	100	M24
Dasatinib	Drug42	1	D1	100	F02
Dasatinib	Drug42	0.008	D1	100	A08
Dasatinib	Drug42	0.04	D1	100	G19
Erlotinib	Drug43	0.04	G7	100	D22
Erlotinib	Drug43	0.2	G7	100	K01
Erlotinib	Drug43	1	G7	100	L21
Erlotinib	Drug43	0.0016	G7	100	C14
Erlotinib	Drug43	0.008	G7	100	D04
Etoposid	Drug44	0.04	A4	100	E05
Etoposid	Drug44	0.2	A4	100	O19
Etoposid	Drug44	0.008	A4	100	F01
Etoposid	Drug44	0.0016	A4	100	C06
Etoposid	Drug44	1	A4	100	E08
Gefitinib	Drug45	1	E1	100	F10
Gefitinib	Drug45	0.008	E1	100	F14
Gefitinib	Drug45	0.04	E1	100	F08
Gefitinib	Drug45	0.2	E1	100	K06
Gefitinib	Drug45	0.0016	E1	100	D19
Idelalisib	Drug46	0.04	B5	100	O04
Idelalisib	Drug46	0.008	B5	100	D07
Idelalisib	Drug46	0.2	B5	100	B01
Idelalisib	Drug46	1	B5	100	E21
Idelalisib	Drug46	0.0016	B5	100	G01
lapatinib	Drug47	0.04	H4	100	A21
lapatinib	Drug47	0.008	H4	100	N01
lapatinib	Drug47	0.2	H4	100	G20
lapatinib	Drug47	0.0016	H4	100	L22
lapatinib	Drug47	1	H4	100	G15
LGK974	Drug48	0.2	C7	100	N23
LGK974	Drug48	0.008	C7	100	O05
LGK974	Drug48	1	C7	100	H11
LGK974	Drug48	0.04	C7	100	M07
LGK974	Drug48	0.0016	C7	100	B11
Nutlin3a	Drug49	0.04	D8	100	H04
Nutlin3a	Drug49	0.2	D8	100	K15
Nutlin3a	Drug49	0.008	D8	100	N11
Nutlin3a	Drug49	0.0016	D8	100	K21
Nutlin3a	Drug49	1	D8	100	F21
Trametinib	Drug5	0.0016	F5	100	B24
Trametinib	Drug5	0.008	F5	100	E19
Trametinib	Drug5	1	F5	100	B20
Trametinib	Drug5	0.04	F5	100	P23
Trametinib	Drug5	0.2	F5	100	P09
Olaparib	Drug50	0.2	H1	100	C08
Olaparib	Drug50	1	H1	100	G21
Olaparib	Drug50	0.0016	H1	100	D02
Olaparib	Drug50	0.008	H1	100	I04
Olaparib	Drug50	0.04	H1	100	N09
pazopanib	Drug51	0.2	C6	100	B18
pazopanib	Drug51	0.008	C6	100	H20
pazopanib	Drug51	0.04	C6	100	E09
pazopanib	Drug51	0.0016	C6	100	H03
pazopanib	Drug51	1	C6	100	L09
Regorafenib	Drug52	0.0016	B3	100	D15
Regorafenib	Drug52	0.04	B3	100	D06
Regorafenib	Drug52	0.2	B3	100	K02
Regorafenib	Drug52	0.008	B3	100	G18
Regorafenib	Drug52	1	B3	100	I15
ruxolitinib	Drug53	0.008	B4	100	J09
ruxolitinib	Drug53	0.0016	B4	100	I03
ruxolitinib	Drug53	1	B4	100	M15
ruxolitinib	Drug53	0.04	B4	100	A22
ruxolitinib	Drug53	0.2	B4	100	O09
sonidegib	Drug54	0.2	A5	100	B04
sonidegib	Drug54	0.0016	A5	100	B09
sonidegib	Drug54	1	A5	100	P03
sonidegib	Drug54	0.008	A5	100	N04
sonidegib	Drug54	0.04	A5	100	K10
Sorafenib	Drug55	0.008	D7	100	D20
Sorafenib	Drug55	0.04	D7	100	G17
Sorafenib	Drug55	0.0016	D7	100	D17
Sorafenib	Drug55	0.2	D7	100	J06
Sorafenib	Drug55	1	D7	100	J07
Vismodegib	Drug56	0.0016	B2	100	K19
Vismodegib	Drug56	0.04	B2	100	G22
Vismodegib	Drug56	1	B2	100	N24
Vismodegib	Drug56	0.2	B2	100	N17
Vismodegib	Drug56	0.008	B2	100	L01
Vorinostat	Drug57	0.0016	G1	100	B06
Vorinostat	Drug57	1	G1	100	L03
Vorinostat	Drug57	0.008	G1	100	C07
Vorinostat	Drug57	0.04	G1	100	P08
Vorinostat	Drug57	0.2	G1	100	M10
ALISERTIB	Drug58	0.04	F2	100	F13
ALISERTIB	Drug58	0.2	F2	100	J13
ALISERTIB	Drug58	1	F2	100	J20
ALISERTIB	Drug58	0.008	F2	100	A20
ALISERTIB	Drug58	0.0016	F2	100	M21
Dabrafenib with Trametinib	Drug59	0.008	A9	100	P01
Dabrafenib with Trametinib	Drug59	0.0016	A9	100	N14
Dabrafenib with Trametinib	Drug59	1	A9	100	I13
Dabrafenib with Trametinib	Drug59	0.2	A9	100	I11
Dabrafenib with Trametinib	Drug59	0.04	A9	100	A16
Vinblastin	Drug6	0.04	E6	100	M08
Vinblastin	Drug6	0.008	E6	100	N05
Vinblastin	Drug6	0.2	E6	100	A12
Vinblastin	Drug6	0.0016	E6	100	A11
Vinblastin	Drug6	1	E6	100	L08
Irinotecan mit 5-FU	Drug60	1	B9	100	B19
Irinotecan mit 5-FU	Drug60	0.04	B9	100	M14
Irinotecan mit 5-FU	Drug60	0.008	B9	100	M17
Irinotecan mit 5-FU	Drug60	0.0016	B9	100	A13
Irinotecan mit 5-FU	Drug60	0.2	B9	100	N07
MK-1775	Drug61	0.2	E4	100	L17
MK-1775	Drug61	0.008	E4	100	G13
MK-1775	Drug61	1	E4	100	O15
MK-1775	Drug61	0.04	E4	100	D14
MK-1775	Drug61	0.0016	E4	100	E18
Oxaliplatin mit 5-FU	Drug62	0.2	C9	100	L16
Oxaliplatin mit 5-FU	Drug62	0.008	C9	100	O10
Oxaliplatin mit 5-FU	Drug62	0.04	C9	100	D21
Oxaliplatin mit 5-FU	Drug62	1	C9	100	L05
Oxaliplatin mit 5-FU	Drug62	0.0016	C9	100	J14
PHENFORMIN	Drug63	0.008	D5	100	H08
PHENFORMIN	Drug63	0.04	D5	100	C19
PHENFORMIN	Drug63	0.0016	D5	100	B17
PHENFORMIN	Drug63	1	D5	100	N15
PHENFORMIN	Drug63	0.2	D5	100	L04
Trifluoridin/Tipiracil	Drug64	1	D9	100	B07
Trifluoridin/Tipiracil	Drug64	0.2	D9	100	P18
Trifluoridin/Tipiracil	Drug64	0.04	D9	100	I16
Trifluoridin/Tipiracil	Drug64	0.0016	D9	100	P06
Trifluoridin/Tipiracil	Drug64	0.008	D9	100	K04
Volasertib	Drug65	0.2	C5	100	K22
Volasertib	Drug65	1	C5	100	P02
Volasertib	Drug65	0.008	C5	100	N20
Volasertib	Drug65	0.04	C5	100	A05
Volasertib	Drug65	0.0016	C5	100	I20
VX-702	Drug66	0.04	G6	100	I07
VX-702	Drug66	0.008	G6	100	N12
VX-702	Drug66	1	G6	100	E24
VX-702	Drug66	0.0016	G6	100	P15
VX-702	Drug66	0.2	G6	100	D13
Irinotecan mit 5-FU + Gefitinib	Drug67	0.2	9E	100	I19
Irinotecan mit 5-FU + Gefitinib	Drug67	0.008	9E	100	A04
Irinotecan mit 5-FU + Gefitinib	Drug67	0.04	9E	100	C02
Irinotecan mit 5-FU + Gefitinib	Drug67	0.0016	9E	100	E03
Irinotecan mit 5-FU + Gefitinib	Drug67	1	9E	100	M23
Oxaliplatin mit 5-FU + Gefitinib	Drug68	0.04	9F	100	B15
Oxaliplatin mit 5-FU + Gefitinib	Drug68	0.0016	9F	100	D08
Oxaliplatin mit 5-FU + Gefitinib	Drug68	0.2	9F	100	E04
Oxaliplatin mit 5-FU + Gefitinib	Drug68	1	9F	100	I18
Oxaliplatin mit 5-FU + Gefitinib	Drug68	0.008	9F	100	M05
Everolimus	Drug7	0.0016	D2	100	C09
Everolimus	Drug7	0.2	D2	100	B13
Everolimus	Drug7	0.04	D2	100	N02
Everolimus	Drug7	1	D2	100	L10
Everolimus	Drug7	0.008	D2	100	L11
Palbociclib	Drug8	0.2	C2	100	F24
Palbociclib	Drug8	1	C2	100	D09
Palbociclib	Drug8	0.008	C2	100	E23
Palbociclib	Drug8	0.04	C2	100	K14
Palbociclib	Drug8	0.0016	C2	100	A10
YM155	Drug9	0.008	E2	100	D18
YM155	Drug9	1	E2	100	A14
YM155	Drug9	0.04	E2	100	A03
YM155	Drug9	0.2	E2	100	E02
YM155	Drug9	0.0016	E2	100	L20
Staurosporine_500nM	Stauro_500nM	1	10A	100	H14
Staurosporine_500nM	Stauro_500nM	0.04	10A	100	J19
Staurosporine_500nM	Stauro_500nM	0.2	10A	100	M16
Staurosporine_500nM	Stauro_500nM	0.0016	10A	100	H05
Staurosporine_500nM	Stauro_500nM	1	10A	100	L15
Staurosporine_500nM	Stauro_500nM	0.04	10A	100	O17
Staurosporine_500nM	Stauro_500nM	0.2	10A	100	O23
Staurosporine_500nM	Stauro_500nM	0.0016	10A	100	M20
Staurosporine_500nM	Stauro_500nM	1	10A	100	G09
Staurosporine_500nM	Stauro_500nM	0.04	10A	100	A09
Staurosporine_500nM	Stauro_500nM	0.2	10A	100	O03
Staurosporine_500nM	Stauro_500nM	0.0016	10A	100	F09
