"","cell_line","treatment","time","concentration","cell_count"
"66","D004T01","Erlotinib",96,0.2,NA
"67","D004T01","Bleomycin",96,1,7421
"68","D004T01","Staurosporine_500nM",96,0,2957
"69","D004T01","Oxaliplatin mit 5-FU",96,0.0016,8882
"70","D004T01","Staurosporine_500nM",96,0,NA
"71","D004T01","Fludarabine",96,0.0016,8942
"72","D004T01","Crizotinib",96,0.04,NA
"73","D004T01","Mitomycin C",96,0.0016,9528
"74","D004T01","Oxaliplatin mit 5-FU",96,1,7709
"75","D004T01","Napabucasin",96,0.0016,8870
"76","D004T01","Everolimus",96,0.008,11228
"77","D004T01","Lapatinib",96,0.2,8822
"78","D004T01","17AAG",96,0.0016,7637
"79","D004T01","Staurosporine_500nM",96,0,2191
"80","D004T01","Vismodegib",96,0.2,10079
"81","D004T01","Bleomycin",96,0.008,8750
"82","D004T01","Olaparib",96,0.2,NA
"83","D004T01","Dasatinib",96,0.008,NA
"84","D004T01","Ruxolitinib",96,0.0016,NA
"85","D004T01","Bortezomib",96,0.2,24
"86","D004T01","LGK974",96,0.008,NA
"87","D004T01","Irinotecan / SN-38",96,0.008,2430
"88","D004T01","Bortezomib",96,1,NA
"89","D004T01","DMSO",96,0,10486
"90","D004T01","Oxaliplatin mit 5-FU",96,0.2,8942
"91","D004T01","Oxaliplatin mit 5-FU + Gefitinib",96,0.0016,8989
"92","D004T01","Binimetinib",96,0.2,NA
"93","D004T01","Trametinib",96,0.0016,8164
"94","D004T01","Pazopanib",96,0.008,8930
"95","D004T01","DMSO",96,0,NA
"96","D004T01","Binimetinib",96,0.0016,9109
"97","D004T01","Axitinib",96,0.008,9013
"98","D004T01","Oxaliplatin mit 5-FU + Gefitinib",96,0.2,NA
"99","D004T01","Bortezomib",96,0.008,NA
"100","D004T01","Doxorubicin",96,0.008,9109
"101","D004T01","GSK2636771",96,0.0016,NA
"102","D004T01","Irinotecan mit 5-FU + Gefitinib",96,0.04,NA
"103","D004T01","DMSO",96,0,NA
"104","D004T01","Alpelisib",96,0.008,8259
"105","D004T01","Erlotinib",96,0.008,8906
"106","D004T01","Doxorubicin",96,0.0016,9660
"107","D004T01","Panobinostat",96,0.008,11731
"108","D004T01","Dabrafenib mit Trametinib",96,1,NA
"109","D004T01","DMSO",96,0,9313
"110","D004T01","Irinotecan / SN-38",96,0.2,922
"111","D004T01","Binimetinib",96,0.04,NA
"112","D004T01","Methotrexate",96,0.008,4692
"113","D004T01","PRI-724",96,0.2,9456
"114","D004T01","DMSO",96,0,9899
"115","D004T01","Alpelisib",96,1,7900
"116","D004T01","DMSO",96,0,NA
"117","D004T01","Fludarabine",96,1,NA
"118","D004T01","Trametinib",96,0.04,3340
"119","D004T01","Fludarabine",96,0.2,11407
"120","D004T01","Sorafenib",96,0.04,7924
"121","D004T01","Taselisib",96,0.0016,NA
"122","D004T01","Afatinib",96,0.008,8954
"123","D004T01","Methotrexate",96,0.2,5291
"124","D004T01","PRI-724",96,0.0016,NA
"125","D004T01","Sonidegib",96,0.0016,10031
"126","D004T01","Oxaliplatin",96,0.0016,NA
"127","D004T01","DMSO",96,0,NA
"128","D004T01","Vorinostat",96,0.0016,10210
"129","D004T01","Olaparib",96,1,5817
"130","D004T01","Vinblastin",96,0.2,NA
"131","D004T01","Ponatinib",96,0.2,NA
"132","D004T01","AZD 4547",96,0.04,10629
"133","D004T01","Regorafenib",96,0.008,8630
"134","D004T01","Gemcitabine",96,0.2,3603
"135","D004T01","YM155",96,0.0016,9013
"136","D004T01","DMSO",96,0,10282
"137","D004T01","Birinapant",96,0.008,NA
"138","D004T01","Napabucasin",96,0.008,10665
"139","D004T01","Miglitol",96,0.04,NA
"140","D004T01","Cabozantinib",96,0.04,8954
"141","D004T01","Bexaroten",96,0.2,9564
"142","D004T01","GSK2636771",96,1,10378
"143","D004T01","Bortezomib",96,0.04,NA
"144","D004T01","Pazopanib",96,0.2,7565
"145","D004T01","Staurosporine_500nM",96,0,2346
"146","D004T01","Mitomycin C",96,0.008,9085
"147","D004T01","Phenformin",96,0.2,10414
"148","D004T01","GSK2636771",96,0.2,9169
"149","D004T01","Erlotinib",96,1,7960
"150","D004T01","Crizotinib",96,0.008,11623
"151","D004T01","Ponatinib",96,0.04,NA
"152","D004T01","Pazopanib",96,0.04,NA
"153","D004T01","Bexaroten",96,1,NA
"154","D004T01","Defactinib",96,0.04,NA
"155","D004T01","17AAG",96,0.04,7900
"156","D004T01","Nutlin3a",96,0.04,7421
"157","D004T01","Bortezomib",96,0.0016,11862
"158","D004T01","AZD 4547",96,0.0016,9576
"159","D004T01","Dabrafenib mit Trametinib",96,0.0016,10929
"160","D004T01","DMSO",96,0,10186
"161","D004T01","Doxorubicin",96,1,1879
"162","D004T01","Dacarbazine",96,0.2,9600
"163","D004T01","MK-1775",96,0.0016,7314
"164","D004T01","Taselisib",96,0.04,12245
"165","D004T01","Cabozantinib",96,0.2,8307
"166","D004T01","YM155",96,0.2,NA
"167","D004T01","MK-8776",96,0.0016,NA
"168","D004T01","Dabrafenib",96,0.008,8870
"169","D004T01","Gefitinib",96,1,8834
"170","D004T01","Gemcitabine",96,0.008,7649
"171","D004T01","DMSO",96,0,7421
"172","D004T01","Olaparib",96,0.04,9732
"173","D004T01","Volasertib",96,1,12
"174","D004T01","Staurosporine_500nM",96,0,2119
"175","D004T01","Paclitaxel",96,1,7266
"176","D004T01","Irinotecan / SN-38",96,0.0016,6165
"177","D004T01","Vinblastin",96,0.008,7601
"178","D004T01","Etoposid",96,1,NA
"179","D004T01","Ruxolitinib",96,0.2,NA
"180","D004T01","VX-702",96,0.008,10366
"181","D004T01","Dabrafenib",96,0.04,8391
"182","D004T01","Trametinib",96,0.2,1748
"183","D004T01","VX-702",96,0.04,NA
"184","D004T01","Palbociclib",96,0.2,9851
"185","D004T01","Irinotecan mit 5-FU + Gefitinib",96,1,192
"186","D004T01","Everolimus",96,0.2,11623
"187","D004T01","Gefitinib",96,0.04,9480
"188","D004T01","Gemcitabine",96,0.04,NA
"189","D004T01","Alisertib",96,0.2,7876
"190","D004T01","Axitinib",96,0.04,11000
"191","D004T01","MK-1775",96,1,5267
"192","D004T01","Afatinib",96,0.04,8116
"193","D004T01","Crizotinib",96,0.0016,8810
"194","D004T01","Ponatinib",96,0.0016,10103
"195","D004T01","Irinotecan mit 5-FU",96,0.008,8128
"196","D004T01","Paclitaxel",96,0.008,NA
"197","D004T01","DMSO",96,0,NA
"198","D004T01","Sonidegib",96,1,11072
"199","D004T01","DMSO",96,0,8642
"200","D004T01","Fludarabine",96,0.04,NA
"201","D004T01","Dabrafenib",96,1,8080
"202","D004T01","Mitomycin C",96,0.04,NA
"203","D004T01","Trifluoridin/Tipiracil",96,0.04,8906
"204","D004T01","Alpelisib",96,0.0016,7517
"205","D004T01","Gefitinib",96,0.2,NA
"206","D004T01","AZD 5363",96,0.2,NA
"207","D004T01","Phenformin",96,0.0016,8176
"208","D004T01","Etoposid",96,0.2,8511
"209","D004T01","Sonidegib",96,0.2,7852
"210","D004T01","Irinotecan mit 5-FU + Gefitinib",96,0.0016,NA
"211","D004T01","Nutlin3a",96,0.2,5650
"212","D004T01","Lapatinib",96,0.008,10893
"213","D004T01","Trametinib",96,0.008,5398
"214","D004T01","GSK2636771",96,0.04,9349
"215","D004T01","Dasatinib",96,1,7146
"216","D004T01","LGK974",96,0.2,10558
"217","D004T01","Etoposid",96,0.0016,NA
"218","D004T01","Regorafenib",96,0.04,7948
"219","D004T01","Phenformin",96,1,5590
"220","D004T01","Trifluoridin/Tipiracil",96,1,7924
"221","D004T01","Vorinostat",96,0.2,NA
"222","D004T01","Dabrafenib mit Trametinib",96,0.008,12880
"223","D004T01","Sunitinib",96,0.2,10175
"224","D004T01","Vismodegib",96,0.008,10498
"225","D004T01","Paclitaxel",96,0.0016,8894
"226","D004T01","Dacarbazine",96,1,NA
"227","D004T01","Etoposid",96,0.008,10510
"228","D004T01","Sorafenib",96,0.0016,9121
"229","D004T01","Oxaliplatin mit 5-FU + Gefitinib",96,1,7038
"230","D004T01","Phenformin",96,0.008,8295
"231","D004T01","Afatinib",96,0.2,7960
"232","D004T01","Gefitinib",96,0.0016,8080
"233","D004T01","Dasatinib",96,0.2,11383
"234","D004T01","Panobinostat",96,1,36
"235","D004T01","Taselisib",96,0.008,NA
"236","D004T01","Venetoclax",96,0.2,NA
"237","D004T01","MK-8776",96,1,10198
"238","D004T01","Palbociclib",96,1,9456
"239","D004T01","Dacarbazine",96,0.0016,10498
"240","D004T01","DMSO",96,0,13598
"241","D004T01","Crizotinib",96,1,1149
"242","D004T01","Oxaliplatin",96,0.04,NA
"243","D004T01","Doxorubicin",96,0.04,8044
"244","D004T01","Docetaxel",96,0.0016,7577
"245","D004T01","Staurosporine_500nM",96,0,2047
"246","D004T01","Dabrafenib",96,0.2,8235
"247","D004T01","DMSO",96,0,NA
"248","D004T01","AZD 4547",96,0.2,8535
"249","D004T01","Venetoclax",96,1,6392
"250","D004T01","Sorafenib",96,0.008,8032
"251","D004T01","Methotrexate",96,0.04,5255
"252","D004T01","LGK974",96,0.04,NA
"253","D004T01","Oxaliplatin mit 5-FU",96,0.04,7876
"254","D004T01","Idelalisib",96,0.2,10486
"255","D004T01","Axitinib",96,0.0016,9492
"256","D004T01","Doxorubicin",96,0.2,8319
"257","D004T01","DMSO",96,0,8642
"258","D004T01","Vinblastin",96,0.04,NA
"259","D004T01","Docetaxel",96,0.008,NA
"260","D004T01","Trifluoridin/Tipiracil",96,0.2,12928
"261","D004T01","Sunitinib",96,0.008,10270
"262","D004T01","Oxaliplatin mit 5-FU + Gefitinib",96,0.04,9827
"263","D004T01","Vinblastin",96,0.0016,NA
"264","D004T01","Sorafenib",96,1,4345
"265","D004T01","Bexaroten",96,0.0016,9552
"266","D004T01","DMSO",96,0,8846
"267","D004T01","AZD 4547",96,0.008,NA
"268","D004T01","DMSO",96,0,8870
"269","D004T01","Defactinib",96,0.2,10079
"270","D004T01","YM155",96,0.04,NA
"271","D004T01","MK-8776",96,0.04,NA
"272","D004T01","Vismodegib",96,0.04,8307
"273","D004T01","Etoposid",96,0.04,NA
"274","D004T01","Axitinib",96,1,7625
"275","D004T01","Taselisib",96,1,NA
"276","D004T01","Methotrexate",96,0.0016,6727
"277","D004T01","Idelalisib",96,1,9803
"278","D004T01","Sunitinib",96,1,12
"279","D004T01","LGK974",96,0.0016,8606
"280","D004T01","Palbociclib",96,0.04,11515
"281","D004T01","Dabrafenib mit Trametinib",96,0.04,4453
"282","D004T01","Venetoclax",96,0.04,NA
"283","D004T01","Lapatinib",96,1,8355
"284","D004T01","Docetaxel",96,0.2,8283
"285","D004T01","Erlotinib",96,0.04,9037
"286","D004T01","AZD 5363",96,0.04,10546
"287","D004T01","5-FU",96,0.2,NA
"288","D004T01","Everolimus",96,0.0016,NA
"289","D004T01","Birinapant",96,0.0016,10976
"290","D004T01","Staurosporine_500nM",96,0,2346
"291","D004T01","Vinblastin",96,1,2322
"292","D004T01","Gemcitabine",96,1,NA
"293","D004T01","LGK974",96,1,7828
"294","D004T01","Irinotecan / SN-38",96,1,539
"295","D004T01","Volasertib",96,0.008,6105
"296","D004T01","Sorafenib",96,0.2,8331
"297","D004T01","DMSO",96,0,9444
"298","D004T01","Staurosporine_500nM",96,0,2047
"299","D004T01","DMSO",96,0,10019
"300","D004T01","Alisertib",96,0.008,7828
"301","D004T01","Paclitaxel",96,0.2,5877
"302","D004T01","Regorafenib",96,0.0016,8307
"303","D004T01","Ruxolitinib",96,1,3064
"304","D004T01","Volasertib",96,0.04,NA
"305","D004T01","DMSO",96,0,9408
"306","D004T01","Panobinostat",96,0.2,1329
"307","D004T01","DMSO",96,0,8834
"308","D004T01","DMSO",96,0,8367
"309","D004T01","Lapatinib",96,0.0016,9253
"310","D004T01","Docetaxel",96,1,NA
"311","D004T01","Cabozantinib",96,0.008,9779
"312","D004T01","VX-702",96,1,8439
"313","D004T01","Gemcitabine",96,0.0016,NA
"314","D004T01","DMSO",96,0,8092
"315","D004T01","DMSO",96,0,8810
"316","D004T01","Alpelisib",96,0.04,NA
"317","D004T01","Oxaliplatin",96,1,7697
"318","D004T01","Irinotecan / SN-38",96,0.04,1580
"319","D004T01","Idelalisib",96,0.04,NA
"320","D004T01","Mitomycin C",96,0.2,4405
"321","D004T01","17AAG",96,0.2,431
"322","D004T01","Irinotecan mit 5-FU",96,0.0016,NA
"323","D004T01","Napabucasin",96,1,NA
"324","D004T01","Gefitinib",96,0.008,9229
"325","D004T01","Crizotinib",96,0.2,11623
"326","D004T01","DMSO",96,0,9827
"327","D004T01","Irinotecan mit 5-FU + Gefitinib",96,0.2,742
"328","D004T01","Dacarbazine",96,0.008,11395
"329","D004T01","Volasertib",96,0.0016,8199
"330","D004T01","Defactinib",96,1,7697
"331","D004T01","DMSO",96,0,7996
"332","D004T01","Lapatinib",96,0.04,9205
"333","D004T01","Staurosporine_500nM",96,0,2179
"334","D004T01","Irinotecan mit 5-FU",96,0.2,1041
"335","D004T01","Everolimus",96,0.04,13574
"336","D004T01","Bexaroten",96,0.008,NA
"337","D004T01","PRI-724",96,0.04,NA
"338","D004T01","YM155",96,0.008,8415
"339","D004T01","Miglitol",96,0.008,9492
"340","D004T01","Idelalisib",96,0.0016,NA
"341","D004T01","Napabucasin",96,0.2,7816
"342","D004T01","5-FU",96,0.008,9205
"343","D004T01","AZD 5363",96,0.0016,8882
"344","D004T01","Miglitol",96,0.0016,9157
"345","D004T01","Palbociclib",96,0.008,8092
"346","D004T01","Everolimus",96,1,11539
"347","D004T01","Vorinostat",96,1,84
"348","D004T01","Bleomycin",96,0.04,NA
"349","D004T01","Fludarabine",96,0.008,9516
"350","D004T01","Olaparib",96,0.008,NA
"351","D004T01","Dasatinib",96,0.04,8295
"352","D004T01","17AAG",96,0.008,NA
"353","D004T01","Venetoclax",96,0.008,9672
"354","D004T01","Dabrafenib mit Trametinib",96,0.2,NA
"355","D004T01","DMSO",96,0,10294
"356","D004T01","Dabrafenib",96,0.0016,10785
"357","D004T01","Oxaliplatin",96,0.2,12808
"358","D004T01","DMSO",96,0,NA
"359","D004T01","Cabozantinib",96,1,8020
"360","D004T01","Palbociclib",96,0.0016,NA
"361","D004T01","Olaparib",96,0.0016,9085
"362","D004T01","Cabozantinib",96,0.0016,9456
"363","D004T01","DMSO",96,0,11156
"364","D004T01","Afatinib",96,0.0016,NA
"365","D004T01","Vismodegib",96,1,10773
"366","D004T01","Binimetinib",96,0.008,NA
"367","D004T01","Oxaliplatin mit 5-FU",96,0.008,NA
"368","D004T01","Ponatinib",96,1,8666
"369","D004T01","Regorafenib",96,0.2,NA
"370","D004T01","Afatinib",96,1,NA
"371","D004T01","DMSO",96,0,9337
"372","D004T01","Paclitaxel",96,0.04,5973
"373","D004T01","Ruxolitinib",96,0.04,8642
"374","D004T01","Birinapant",96,0.04,9097
"375","D004T01","Irinotecan mit 5-FU",96,0.04,7697
"376","D004T01","5-FU",96,0.0016,NA
"377","D004T01","Alisertib",96,0.04,7673
"378","D004T01","Irinotecan mit 5-FU + Gefitinib",96,0.008,NA
"379","D004T01","Phenformin",96,0.04,8355
"380","D004T01","Panobinostat",96,0.04,6990
"381","D004T01","Bleomycin",96,0.0016,11096
"382","D004T01","Sonidegib",96,0.04,NA
"383","D004T01","VX-702",96,0.0016,11934
"384","D004T01","Nutlin3a",96,0.008,11695
"385","D004T01","17AAG",96,0.0016,7062
"386","D004T01","Sunitinib",96,0.04,9636
"387","D004T01","Sorafenib",96,0.2,6308
"388","D004T01","Volasertib",96,1,12
"389","D004T01","DMSO",96,0,5973
"390","D004T01","Defactinib",96,0.04,3747
"391","D004T01","Ponatinib",96,1,7637
"392","D004T01","5-FU",96,0.04,7984
"393","D004T01","Vorinostat",96,0.04,10222
"394","D004T01","Crizotinib",96,0.0016,9265
"395","D004T01","MK-1775",96,0.2,2406
"396","D004T01","Erlotinib",96,0.0016,8547
"397","D004T01","DMSO",96,0,10186
"398","D004T01","Venetoclax",96,0.2,6739
"399","D004T01","Oxaliplatin",96,0.008,8211
"400","D004T01","GSK2636771",96,0.2,5458
"401","D004T01","Etoposid",96,0.008,10486
"402","D004T01","VX-702",96,0.04,8989
"403","D004T01","YM155",96,0.04,9301
"404","D004T01","Etoposid",96,0.04,6967
"405","D004T01","Defactinib",96,0.0016,9863
"406","D004T01","Oxaliplatin mit 5-FU",96,0.008,9696
"407","D004T01","Crizotinib",96,0.04,5949
"408","D004T01","Palbociclib",96,0.008,9612
"409","D004T01","Phenformin",96,0.0016,7062
"410","D004T01","Sunitinib",96,0.0016,8882
"411","D004T01","VX-702",96,0.0016,10641
"412","D004T01","Alpelisib",96,0.0016,6117
"413","D004T01","DMSO",96,0,9540
"414","D004T01","Irinotecan / SN-38",96,0.0016,4489
"415","D004T01","Everolimus",96,0.0016,7840
"416","D004T01","Dasatinib",96,0.0016,11072
"417","D004T01","PRI-724",96,0.04,7721
"418","D004T01","AZD 5363",96,0.0016,9504
"419","D004T01","Alpelisib",96,1,9983
"420","D004T01","YM155",96,0.008,7912
"421","D004T01","Vinblastin",96,0.0016,6763
"422","D004T01","Staurosporine_500nM",96,0,1233
"423","D004T01","Trametinib",96,1,958
"424","D004T01","YM155",96,0.2,7158
"425","D004T01","Olaparib",96,0.2,7565
"426","D004T01","Birinapant",96,0.2,6021
"427","D004T01","DMSO",96,0,9229
"428","D004T01","Crizotinib",96,1,12
"429","D004T01","Docetaxel",96,0.2,4980
"430","D004T01","Dasatinib",96,1,6248
"431","D004T01","Miglitol",96,1,5470
"432","D004T01","Irinotecan mit 5-FU",96,0.04,4142
"433","D004T01","Dabrafenib mit Trametinib",96,0.2,1365
"434","D004T01","Axitinib",96,0.04,9121
"435","D004T01","Panobinostat",96,0.2,826
"436","D004T01","Dasatinib",96,0.04,7924
"437","D004T01","Methotrexate",96,1,2801
"438","D004T01","Volasertib",96,0.2,2693
"439","D004T01","Everolimus",96,1,9624
"440","D004T01","17AAG",96,0.04,7122
"441","D004T01","Olaparib",96,0.008,8235
"442","D004T01","AZD 5363",96,0.2,7014
"443","D004T01","Lapatinib",96,0.2,5829
"444","D004T01","5-FU",96,0.0016,7924
"445","D004T01","YM155",96,1,2813
"446","D004T01","Paclitaxel",96,0.0016,9181
"447","D004T01","Palbociclib",96,1,7098
"448","D004T01","MK-8776",96,1,10318
"449","D004T01","Doxorubicin",96,0.008,8678
"450","D004T01","Taselisib",96,0.2,6188
"451","D004T01","MK-8776",96,0.04,8726
"452","D004T01","Vorinostat",96,1,72
"453","D004T01","Staurosporine_500nM",96,0,1101
"454","D004T01","Sonidegib",96,0.2,8906
"455","D004T01","Alpelisib",96,0.04,10653
"456","D004T01","Dabrafenib",96,0.2,7792
"457","D004T01","Napabucasin",96,0.0016,9085
"458","D004T01","Dacarbazine",96,0.04,10043
"459","D004T01","DMSO",96,0,5530
"460","D004T01","Nutlin3a",96,0.04,7218
"461","D004T01","Mitomycin C",96,0.04,6476
"462","D004T01","Dacarbazine",96,0.2,8487
"463","D004T01","VX-702",96,0.2,8439
"464","D004T01","Napabucasin",96,0.04,9456
"465","D004T01","Vismodegib",96,0.04,6141
"466","D004T01","Venetoclax",96,1,5267
"467","D004T01","Napabucasin",96,0.2,6332
"468","D004T01","Sonidegib",96,1,6751
"469","D004T01","Axitinib",96,0.008,8582
"470","D004T01","Fludarabine",96,0.04,9277
"471","D004T01","Staurosporine_500nM",96,0,1005
"472","D004T01","Docetaxel",96,1,5315
"473","D004T01","Lapatinib",96,0.0016,9085
"474","D004T01","Palbociclib",96,0.04,9253
"475","D004T01","Nutlin3a",96,1,1125
"476","D004T01","Irinotecan mit 5-FU",96,0.2,575
"477","D004T01","Dabrafenib mit Trametinib",96,0.0016,9827
"478","D004T01","Docetaxel",96,0.04,5183
"479","D004T01","Etoposid",96,0.2,7709
"480","D004T01","Panobinostat",96,0.008,6691
"481","D004T01","Miglitol",96,0.04,9468
"482","D004T01","DMSO",96,0,8918
"483","D004T01","Ruxolitinib",96,0.008,9157
"484","D004T01","Palbociclib",96,0.0016,8726
"485","D004T01","LGK974",96,1,5985
"486","D004T01","Miglitol",96,0.0016,9253
"487","D004T01","MK-1775",96,1,3507
"488","D004T01","Trametinib",96,0.04,2322
"489","D004T01","Olaparib",96,1,6356
"490","D004T01","Birinapant",96,0.008,7852
"491","D004T01","Idelalisib",96,0.008,8259
"492","D004T01","17AAG",96,0.008,9672
"493","D004T01","Mitomycin C",96,0.008,7673
"494","D004T01","Pazopanib",96,1,9432
"495","D004T01","Binimetinib",96,0.0016,8762
"496","D004T01","Palbociclib",96,0.2,8355
"497","D004T01","Dacarbazine",96,0.008,9313
"498","D004T01","VX-702",96,0.008,10007
"499","D004T01","Erlotinib",96,0.2,6835
"500","D004T01","Vinblastin",96,0.2,1544
"501","D004T01","Alisertib",96,0.0016,8020
"502","D004T01","Nutlin3a",96,0.2,3507
"503","D004T01","Sonidegib",96,0.008,9097
"504","D004T01","PRI-724",96,0.008,9193
"505","D004T01","Dacarbazine",96,1,9133
"506","D004T01","AZD 4547",96,0.2,9061
"507","D004T01","Dabrafenib",96,1,5793
"508","D004T01","Sunitinib",96,1,12
"509","D004T01","Binimetinib",96,0.2,2801
"510","D004T01","Volasertib",96,0.04,3830
"511","D004T01","Vinblastin",96,0.008,5985
"512","D004T01","DMSO",96,0,8187
"513","D004T01","Oxaliplatin",96,0.04,10881
"514","D004T01","Etoposid",96,1,3100
"515","D004T01","Sunitinib",96,0.008,9791
"516","D004T01","Vorinostat",96,0.0016,7864
"517","D004T01","Panobinostat",96,1,48
"518","D004T01","GSK2636771",96,0.008,7864
"519","D004T01","DMSO",96,0,8774
"520","D004T01","PRI-724",96,1,7721
"521","D004T01","Sorafenib",96,0.0016,9384
"522","D004T01","YM155",96,0.0016,8762
"523","D004T01","Sorafenib",96,0.04,6919
"524","D004T01","Gemcitabine",96,0.008,7050
"525","D004T01","Cabozantinib",96,0.0016,9013
"526","D004T01","Dasatinib",96,0.008,7445
"527","D004T01","AZD 5363",96,1,3651
"528","D004T01","Gefitinib",96,0.04,8391
"529","D004T01","Gemcitabine",96,0.2,2047
"530","D004T01","Vorinostat",96,0.008,8906
"531","D004T01","Gefitinib",96,0.0016,8870
"532","D004T01","17AAG",96,0.2,311
"533","D004T01","Oxaliplatin mit 5-FU + Gefitinib",96,0.2,6308
"534","D004T01","Irinotecan mit 5-FU + Gefitinib",96,0.04,3435
"535","D004T01","Ponatinib",96,0.04,9779
"536","D004T01","Etoposid",96,0.0016,5482
"537","D004T01","DMSO",96,0,6871
"538","D004T01","Dabrafenib",96,0.04,8606
"539","D004T01","DMSO",96,0,8104
"540","D004T01","DMSO",96,0,6177
"541","D004T01","PRI-724",96,0.2,8678
"542","D004T01","Cabozantinib",96,0.04,8989
"543","D004T01","Phenformin",96,0.008,6476
"544","D004T01","Bortezomib",96,0.008,754
"545","D004T01","LGK974",96,0.04,8882
"546","D004T01","DMSO",96,0,9361
"547","D004T01","Doxorubicin",96,0.0016,9361
"548","D004T01","Irinotecan / SN-38",96,1,383
"549","D004T01","Regorafenib",96,0.0016,7852
"550","D004T01","Lapatinib",96,0.04,8152
"551","D004T01","Sonidegib",96,0.04,6907
"552","D004T01","Venetoclax",96,0.008,2765
"553","D004T01","Vismodegib",96,0.0016,8978
"554","D004T01","Trifluoridin/Tipiracil",96,0.04,9169
"555","D004T01","Gefitinib",96,1,5626
"556","D004T01","Staurosporine_500nM",96,0,1017
"557","D004T01","Bleomycin",96,0.008,8666
"558","D004T01","Paclitaxel",96,1,6129
"559","D004T01","Olaparib",96,0.0016,8355
"560","D004T01","Binimetinib",96,0.04,5135
"561","D004T01","Alpelisib",96,0.2,9013
"562","D004T01","DMSO",96,0,7948
"563","D004T01","Staurosporine_500nM",96,0,802
"564","D004T01","Bexaroten",96,0.008,6883
"565","D004T01","MK-1775",96,0.008,8762
"566","D004T01","Dabrafenib mit Trametinib",96,0.008,11958
"567","D004T01","Irinotecan mit 5-FU + Gefitinib",96,0.2,515
"568","D004T01","Pazopanib",96,0.0016,9049
"569","D004T01","Ruxolitinib",96,0.2,10641
"570","D004T01","Idelalisib",96,1,9361
"571","D004T01","Defactinib",96,0.008,9049
"572","D004T01","Vismodegib",96,0.008,6512
"573","D004T01","Bleomycin",96,0.0016,10641
"574","D004T01","Docetaxel",96,0.008,6835
"575","D004T01","Birinapant",96,0.04,8187
"576","D004T01","Idelalisib",96,0.0016,9995
"577","D004T01","Irinotecan / SN-38",96,0.04,838
"578","D004T01","Bortezomib",96,1,0
"579","D004T01","Staurosporine_500nM",96,0,922
